,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
25381,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12486,82,,B3,179-29 SELOVER ROAD,,11434,2,0,2,"2,000","1,472",1935,1,B3,790000,12/28/2022,40.6835472,-73.7643438
25382,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12486,141,,B3,178-15 SELOVER ROAD,,11434,2,0,2,"3,124","2,622",1999,1,B3,0,6/29/2022,40.6821414,-73.7654701
25383,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12492,30,,B2,126-06 FARMERS BOULEVARD,,11434,2,0,2,"2,531","3,202",1997,1,B2,900000,8/11/2022,40.6818061,-73.7612384
25384,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12494,45,,B3,178-40 EVELETH ROAD,,11434,2,0,2,"2,499","1,692",1930,1,B3,0,6/21/2022,40.6814595,-73.7622131
25391,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12529,382,,B2,133-38 GARRETT STREET,,11434,2,0,2,"4,857","2,544",1992,1,B2,1050000,7/19/2022,40.6757184,-73.7653665
25399,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12547,28,,B2,133-20 FARMERS BOULEVARD,,11434,2,0,2,"3,826","1,837",1963,1,B2,780000,12/15/2022,40.6768619,-73.7634877
25412,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12592,45,,B2,174-28 140 AVENUE,,11434,2,0,2,"3,051","2,460",2006,1,B2,860000,5/23/2022,40.6710495,-73.7653793
25413,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12593,109,,B2,143-08 FARMERS BOULEVARD,,11434,2,0,2,"2,900","1,980",2005,1,B2,825000,8/25/2022,40.6695686,-73.7660117
25426,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12683,14,,B3,120-20 198 STREET,,11412,2,0,2,"4,500","1,099",1945,1,B3,445000,4/18/2022,40.6891121,-73.7518838
25432,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12687,76,,B2,121-25 199 STREET,,11413,2,0,2,"3,731","1,594",1960,1,B2,910000,12/16/2022,40.6882731,-73.7497559
25433,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12693,34,,B2,120-46 NASHVILLE BOULEVARD,,11412,2,0,2,"3,904","2,284",1999,1,B2,10,2/15/2022,40.6903804,-73.7481902
25437,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12713,21,,B3,123-11 NELLIS STREET,,11413,2,0,2,"3,999","1,607",1940,1,B3,825000,9/29/2022,40.6813726,-73.7573965
25438,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12717,163,,B3,186-15 PINEVILLE LANE,,11413,2,0,2,"7,006","2,445",1930,1,B3,10,7/23/2022,40.6806415,-73.7556253
25439,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12719,3,,B1,187-13 RIDGEDALE STREET,,11413,2,0,2,"5,759","2,385",1935,1,B1,450000,1/26/2023,40.6812005,-73.7539071
25440,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12983,10,,B3,131-37 MATHEWSON COURT,,11434,2,0,2,"3,999","2,192",1920,1,B3,66000,12/13/2022,40.678541,-73.7605074
25441,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12983,22,,B3,131-15 MATHEWSON COURT,,11434,2,0,2,"3,325","1,632",1920,1,B3,1069950,3/11/2022,40.6788389,-73.7612418
25442,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12986,32,,B2,133-28 DENIS STREET,,11434,2,0,2,"2,113","1,760",1960,1,B2,603313,4/26/2022,40.6771522,-73.7618896
25444,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13021,56,,B3,137-54 BEDELL STREET,,11413,2,0,2,"8,799","1,800",1910,1,B3,745000,12/20/2022,40.6726049,-73.7622807
25445,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13022,18,,B3,137-55 BEDELL STREET,,11413,2,0,2,"4,640","1,344",1920,1,B3,990000,2/22/2022,40.672972,-73.7619369
25446,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13027,35,,B2,137-19 BELKNAP STREET,,11413,2,0,2,"3,449","2,058",2006,1,B2,980000,6/28/2022,40.6754556,-73.7577497
25448,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13027,66,,B3,137-40 SLOAN STREET,,11413,2,0,2,"4,600","2,496",1950,1,B3,1080000,4/26/2022,40.6752818,-73.757343
25454,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13041,43,,B1,183-05 141 AVENUE,,11413,2,0,2,"2,485","1,800",1950,1,B1,0,5/6/2022,40.6711192,-73.7605845
25459,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13044,78,,B2,140-18 CHARLES LANE,,11413,2,0,2,"3,712","2,496",2005,1,B2,0,4/6/2022,40.6720785,-73.7572897
25460,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13044,164,,B2,140-45 COOMBS STREET,,11413,2,0,2,"2,799","1,520",2005,1,B2,803000,7/29/2022,40.6714971,-73.7575262
25461,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13047,10,,B2,140-07 FARMERS BOULEVARD,,11434,2,0,2,"4,400","2,200",1955,1,B2,0,2/2/2022,40.6711682,-73.7643731
25463,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13050,24,,B3,141-38 181ST STREET,,11413,2,0,2,"4,555","1,920",1940,1,B3,0,6/21/2022,40.6697246,-73.7630985
25465,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13050,34,,B3,142-15 180 STREET,,11434,2,0,2,"3,000","1,448",1940,1,B3,0,8/11/2022,40.6695471,-73.7635425
25469,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13074,4,,B2,143-31 FARMERS BOULEVARD,,11434,2,0,2,"2,005","1,020",2005,1,B2,0,2/25/2022,40.6687448,-73.7658308
25478,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13092,16,,B3,181-36 144 AVENUE,,11413,2,0,2,"3,300","2,328",1920,1,B3,50000,8/12/2022,40.6676036,-73.7621147
25479,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13093,26,,B2,183-12 144 AVENUE,,11413,2,0,2,"2,665","1,696",2005,1,B2,0,7/21/2022,40.6673839,-73.7607457
25481,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13094,108,,B2,182-37 NORTH CONDUIT AVENUE,,11413,2,0,2,"6,350","2,496",1995,1,B2,1020000,7/20/2022,40.6669658,-73.7603183
25486,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13275,62,,B1,144-47 175 STREET,,11434,2,0,2,"1,954","1,442",2008,1,B1,0,10/18/2022,40.6659812,-73.774232
25496,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13294,7,,B2,145-08 GUY R BREWER BLVD,,11434,2,0,2,"3,639","1,598",1988,1,B2,895000,2/28/2022,40.6655557,-73.7700666
25499,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13305,1,,B1,146-85 FARMERS BOULEVARD,,11434,2,0,2,"4,078",812,2007,1,B1,0,3/5/2022,40.6612832,-73.7706544
25500,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13312,93,,B2,177-56 MEADOW DRIVE,,11434,2,0,2,"2,404","2,208",1997,1,B2,0,10/7/2022,40.6658977,-73.7695391
25501,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13312,93,,B2,177-56 MEADOW DRIVE,,11434,2,0,2,"2,404","2,208",1997,1,B2,850000,7/29/2022,40.6658977,-73.7695391
25502,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13312,97,,B2,177-64 MEADOW DRIVE,,11434,2,0,2,"3,886","2,208",1997,1,B2,0,12/19/2022,40.6658667,-73.7691139
25503,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13312,100,,B2,177-70 MEADOW DRIVE,,11434,2,0,2,"2,405","2,208",1997,1,B2,755000,5/18/2022,40.6658469,-73.7688364
25505,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13312,118,,B2,144-71 BROADWAY,,11434,2,0,2,"2,178","2,208",1998,1,B2,900000,8/25/2022,40.6662638,-73.768698
25521,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13351,16,,B2,146-43 GUY R BREWER BLVD,,11434,2,0,2,"3,380","1,920",1994,1,B2,0,5/19/2022,40.6619583,-73.7678442
25538,4,SPRINGFIELD GARDENS,06 TAX CLASS 1 - OTHER,1,12712,42,,G0,123-34 NELLIS STREET,,11413,0,0,0,799,0,,1,G0,854900,10/31/2022,40.680796,-73.7572977
25539,4,SPRINGFIELD GARDENS,22 STORE BUILDINGS,4,12269,26,,K1,161-36 BAISLEY BOULEVARD,,11434,0,1,1,"4,183","2,953",1999,4,K1,9781870,2/18/2022,40.6777208,-73.7800292
25540,4,SPRINGFIELD GARDENS,22 STORE BUILDINGS,4,12269,29,,K1,127-04 BAISLEY BOULEVARD,,11434,0,1,1,"24,180","4,672",1999,4,K1,9781870,2/18/2022,40.677904,-73.7796356
25546,4,SPRINGFIELD GARDENS,22 STORE BUILDINGS,4,13354,22,,K1,147-03 GUY R BREWER BLVD,,11434,0,1,1,"1,840","1,000",1931,4,K1,515000,8/11/2022,40.6608712,-73.7677399
25547,4,SPRINGFIELD GARDENS,26 OTHER HOTELS,4,12301,19,,H4,153-95 ROCKAWAY BOULEVARD,,11434,0,1,1,"14,779","22,193",2000,4,H4,12500000,7/11/2022,40.6685856,-73.781148
25550,4,SPRINGFIELD GARDENS,29 COMMERCIAL GARAGES,4,12276,66,,G7,129-18 GUY R BREWER BLVD,,11434,0,0,0,"5,579",0,,4,G7,255000,10/28/2022,40.6765761,-73.7785044
25551,4,SPRINGFIELD GARDENS,29 COMMERCIAL GARAGES,4,12458,128,,G2,122-26 FARMERS BOULEVARD,,11434,0,1,1,"5,550","4,540",1937,4,G2,0,2/1/2022,40.682659,-73.7609108
25552,4,SPRINGFIELD GARDENS,29 COMMERCIAL GARAGES,4,12696,53,,G4,131-07 MERRICK BOULEVARD,,11434,0,1,1,"10,240","3,000",1947,4,G4,0,4/5/2022,40.6798929,-73.7612416
25569,4,SPRINGFIELD GARDENS,30 WAREHOUSES,4,12257,1,,E1,152-09 ROCKAWAY BOULEVARD,,11434,0,3,3,"10,250","10,100",1931,4,E1,5761589,6/29/2022,40.6719299,-73.784659
25570,4,SPRINGFIELD GARDENS,30 WAREHOUSES,4,12257,9,,E1,152-17 ROCKAWAY BOULEVARD,,11434,0,1,1,"3,259","2,280",1959,4,E1,5761589,6/29/2022,40.6721416,-73.7848638
25571,4,SPRINGFIELD GARDENS,30 WAREHOUSES,4,12257,11,,E1,152-15 ROCKAWAY BOULEVARD,,11434,0,1,1,"3,602","3,052",1959,4,E1,5267739,6/29/2022,40.6722296,-73.7849537
25572,4,SPRINGFIELD GARDENS,30 WAREHOUSES,4,12257,13,,E1,152-11 ROCKAWAY BOULEVARD,,11434,0,1,1,"6,619","7,000",1960,4,E1,5267739,6/29/2022,40.6723369,-73.7850687
25573,4,SPRINGFIELD GARDENS,30 WAREHOUSES,4,12257,17,,E1,152-01 ROCKAWAY BOULEVARD,,11434,0,2,2,"19,199","29,000",1987,4,E1,11317408,6/29/2022,40.6725706,-73.7852734
25574,4,SPRINGFIELD GARDENS,30 WAREHOUSES,4,12278,60,,E1,152-65 ROCKAWAY BOULEVARD,,11434,0,2,2,"60,222","66,976",1960,4,E1,21153264,6/29/2022,40.6710771,-73.7836524
25575,4,SPRINGFIELD GARDENS,30 WAREHOUSES,4,12999,1,,E1,137-09 EASTGATE PLAZA,,11413,0,1,1,"12,599","5,460",1950,4,E1,0,12/27/2022,40.6762898,-73.7563515
25587,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10278,25,,A2,110-18 179 PLACE,,11433,1,0,1,"4,739","1,575",1960,1,A2,560000,12/16/2022,40.6986866,-73.7749327
25590,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10283,111,,A5,173-07 SAYRES AVENUE,,11433,1,0,1,"1,799","1,544",1930,1,A5,600000,9/9/2022,40.6943265,-73.7784526
25591,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10283,212,,A5,173-03 SAYRES AVENUE,,11433,1,0,1,"1,799","1,544",1930,1,A5,0,12/5/2022,40.6942718,-73.778579
25595,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10285,35,,A9,175-09 SAYRES AVENUE,,11433,1,0,1,"3,083","1,260",1930,1,A9,1100000,3/22/2022,40.6954934,-73.7772551
25597,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10288,43,,A1,174-06 ADELAIDE ROAD,,11433,1,0,1,"4,000","1,440",1935,1,A1,700000,4/5/2022,40.6936957,-73.7773008
25623,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10304,133,,A5,112-06 DUNKIRK STREET,,11412,1,0,1,"2,422","1,188",1950,1,A5,0,11/7/2022,40.6974287,-73.7703605
25627,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10307,21,,A1,114-28 177 STREET,,11434,1,0,1,"5,500","2,222",1935,1,A1,800000,5/19/2022,40.6935554,-73.772945
25643,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10385,68,,A1,189-11 TURIN DRIVE,,11412,1,0,1,"3,000","1,650",1930,1,A1,595000,3/24/2022,40.6934123,-73.763209
25644,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10387,60,,A2,115-72 FARMERS BOULEVARD,,11412,1,0,1,"3,999","1,050",1965,1,A2,580000,9/30/2022,40.6939736,-73.7625327
25646,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10389,61,,A1,115-48 FARMERS BOULEVARD,,11412,1,0,1,"4,200","1,712",1920,1,A1,250000,8/26/2022,40.694673,-73.762267
25647,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10391,44,,A1,190-12 DORMANS ROAD,,11412,1,0,1,"5,500","1,932",1930,1,A1,725000,11/17/2022,40.695777,-73.762584
25650,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10398,31,,A1,187-24 TIOGA DRIVE,,11412,1,0,1,"3,000","1,296",1930,1,A1,362000,12/22/2022,40.6941882,-73.7654637
25653,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10401,34,,A1,187-18 QUENCER ROAD,,11412,1,0,1,"2,489","1,680",1925,1,A1,300000,1/24/2023,40.6958708,-73.7681877
25654,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10401,104,,A1,114-59 DUNKIRK STREET,,11412,1,0,1,"4,800","2,184",1925,1,A1,10,7/21/2022,40.6954526,-73.7676771
25656,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10403,10,,A1,188-39 DORMANS ROAD,,11412,1,0,1,"3,999","2,192",1920,1,A1,0,6/17/2022,40.6965645,-73.76512
25659,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10405,51,,A1,114-11 DUNKIRK STREET,,11412,1,0,1,"2,700","1,710",1935,1,A1,700000,3/25/2022,40.6964538,-73.7687591
25660,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10408,9,,A2,185-36 JORDAN AVENUE,,11412,1,0,1,"4,186","1,154",1920,1,A2,550000,11/22/2022,40.6978893,-73.7687145
25661,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10409,30,,A2,185-07 JORDAN AVENUE,,11412,1,0,1,"3,999","1,321",1950,1,A2,739999,7/11/2022,40.6974631,-73.7697041
25662,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10414,52,,A2,183-38 FONDA AVENUE,,11412,1,0,1,"3,999","1,426",1945,1,A2,0,8/12/2022,40.7005368,-73.77088
25663,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10415,37,,A9,185-23 HILBURN AVENUE,,11412,1,0,1,"3,999","1,346",1930,1,A9,0,8/29/2022,40.6996569,-73.7700932
25664,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10416,31,,A2,186-35 ILION AVENUE,,11412,1,0,1,"3,999","1,650",1930,1,A2,0,9/8/2022,40.6995781,-73.7690981
25666,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10418,33,,A1,187-31 MANGIN AVENUE,,11412,1,0,1,"2,715","1,518",1925,1,A1,0,8/24/2022,40.6987406,-73.7675971
25667,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10419,41,,A1,187-42 MANGIN AVENUE,,11412,1,0,1,"3,000","1,386",1920,1,A1,0,2/8/2022,40.6987666,-73.7668433
25668,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10419,49,,A1,187-37 KEESEVILLE AVENUE,,11412,1,0,1,"3,000","1,550",1930,1,A1,610000,2/18/2022,40.6984834,-73.7666459
25669,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10419,56,,A1,187-19 KEESEVILLE AVENUE,,11412,1,0,1,"3,000","1,510",1930,1,A1,620000,5/27/2022,40.6981327,-73.7669249
25670,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10420,70,,A1,187-02 KEESEVILLE AVENUE,,11412,1,0,1,"3,008","1,870",1930,1,A1,0,2/17/2022,40.6974628,-73.7668515
25671,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10420,84,,A1,187-34 KEESEVILLE AVENUE,,11412,1,0,1,"3,042","1,420",1930,1,A1,619000,12/19/2022,40.6981697,-73.7662215
25672,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10423,33,,A2,186-39 HILBURN AVENUE,,11412,1,0,1,"6,000","2,551",1930,1,A2,820000,5/31/2022,40.7012518,-73.7688254
25673,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10423,39,,A1,186-29 HILBURN AVENUE,,11412,1,0,1,"6,000","3,569",1930,1,A1,25,4/18/2022,40.7009696,-73.7690464
25674,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10424,1,,A2,187-03 ILION AVENUE,,11412,1,0,1,"4,999","1,526",1935,1,A2,0,10/13/2022,40.7000385,-73.7687323
25675,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10426,1,,A2,187-02 JORDAN AVENUE,,11412,1,0,1,"4,252","1,258",1930,1,A2,0,10/6/2022,40.6994348,-73.7674721
25676,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10426,3,,A2,187-06 JORDAN AVENUE,,11412,1,0,1,"4,239","1,258",1935,1,A2,510000,10/11/2022,40.699528,-73.767396
25677,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10427,13,,A1,188-26 MANGIN AVENUE,,11412,1,0,1,"3,000","1,324",1930,1,A1,0,11/4/2022,40.6995914,-73.7661841
25680,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10432,119,,A2,186-04 BRINKERHOFF AVENUE,,11412,1,0,1,"3,999","1,230",1945,1,A2,0,12/29/2022,40.7020876,-73.7695222
25683,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10436,56,,A2,188-17 ILION AVENUE,,11412,1,0,1,"5,500","2,248",1915,1,A2,800000,3/18/2022,40.7015977,-73.7674898
25684,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10437,43,,A1,188-35 JORDAN AVENUE,,11412,1,0,1,"3,999","1,352",1930,1,A1,10,10/5/2022,40.7016476,-73.7663427
25697,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10936,221,,A1,110-07 196 STREET,,11412,1,0,1,"3,999","1,839",1930,1,A1,0,8/15/2022,40.7043937,-73.7603316
25705,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10941,218,,A1,109-74 202 STREET,,11412,1,0,1,"3,000","1,430",1920,1,A1,417000,6/6/2022,40.7056077,-73.7554977
25713,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10948,88,,A1,110-18 208 STREET,,11429,1,0,1,"3,141","1,596",1930,1,A1,400000,6/8/2022,40.7070794,-73.7493607
25717,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10951,99,,S1,111-49 FARMERS BOULEVARD,,11412,1,1,2,"3,045","1,638",1925,1,S1,760000,6/15/2022,40.7009762,-73.7641884
25739,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10972,7,,A5,112-24 197 STREET,,11412,1,0,1,"2,200","1,224",1930,1,A5,520000,5/6/2022,40.7012774,-73.7585395
25756,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10981,151,,A5,112-16 FRANCIS LEWIS BLVD,,11429,1,0,1,"1,800","1,224",1950,1,A5,435000,2/22/2022,40.7037569,-73.750008
25759,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10982,208,,A5,112-37 205 STREET,,11412,1,0,1,"1,800",936,1940,1,A5,0,5/17/2022,40.7029927,-73.7507394
25762,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10985,4,,A1,112-37 208 STREET,,11429,1,0,1,"3,000","1,576",1920,1,A1,808900,8/12/2022,40.7037674,-73.7472632
25767,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10992,44,,A1,113-23 197 STREET,,11412,1,0,1,"3,000","1,672",1930,1,A1,640000,8/5/2022,40.7000563,-73.7573899
25771,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10999,94,,A5,113-21 204 STREET,,11412,1,0,1,"2,000","1,360",1935,1,A5,50000,5/12/2022,40.70172,-73.7511553
25778,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11005,73,,A1,113-14 210 STREET,,11429,1,0,1,"2,950","1,620",1920,1,A1,510000,7/12/2022,40.703355,-73.7457103
25782,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11009,25,,A1,191-50 114 DRIVE,,11412,1,0,1,"2,300","1,048",1920,1,A1,95000,11/23/2022,40.6968969,-73.7599366
25800,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11018,65,,A5,114-21 201 STREET,,11412,1,0,1,"2,000","1,200",1955,1,A5,10,10/1/2022,40.6996356,-73.7531971
25805,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11020,25,,A5,114-31 203 STREET,,11412,1,0,1,"2,000","1,200",1945,1,A5,680000,5/26/2022,40.6998649,-73.7513137
25807,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11021,17,,A5,114-45 204 STREET,,11412,1,0,1,"2,200","1,652",1950,1,A5,0,4/18/2022,40.6995605,-73.7501896
25826,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11033,40,,A1,191-68 115 ROAD,,11412,1,0,1,"2,620","1,847",1930,1,A1,499000,6/7/2022,40.6955232,-73.759314
25827,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11033,40,,A1,191-68 115 ROAD,,11412,1,0,1,"2,620","1,847",1930,1,A1,800000,11/9/2022,40.6955232,-73.759314
25828,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11033,59,,A1,191-19 115 DRIVE,,11412,1,0,1,"4,000","1,513",1925,1,A1,1100000,2/3/2022,40.6949466,-73.760535
25853,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11048,24,,A5,115-64 FRANCIS LEWIS BLVD,,11411,1,0,1,"1,799","1,224",1940,1,A5,2300,9/25/2022,40.6977646,-73.7473004
25854,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11048,24,,A5,115-64 FRANCIS LEWIS BLVD,,11411,1,0,1,"1,799","1,224",1940,1,A5,365040,1/17/2023,40.6977646,-73.7473004
25859,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11054,29,,A2,115-58 SPRINGFIELD BLVD,,11411,1,0,1,"3,999","1,025",1950,1,A2,0,9/24/2022,40.6998457,-73.7425609
25860,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11055,21,,A2,209-26 NASHVILLE BOULEVARD,,11411,1,0,1,"4,000",878,1945,1,A2,0,2/23/2022,40.698747,-73.7434451
25865,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11068,80,,A2,116-27 196 STREET,,11412,1,0,1,"10,891","1,268",1950,1,A2,0,3/24/2022,40.6942893,-73.7559756
25882,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11079,14,,A5,116-17 FRANCIS LEWIS BLVD,,11411,1,0,1,"2,057","1,344",1970,1,A5,550000,6/30/2022,40.6970871,-73.7462427
25883,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11079,16,,A5,116-11 FRANCIS LEWIS BLVD,,11411,1,0,1,"2,058","1,344",1970,1,A5,615825,4/28/2022,40.6971915,-73.7462892
25893,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12401,27,,A2,177-41 115 AVENUE,,11434,1,0,1,"4,439","1,008",1955,1,A2,589999,11/30/2022,40.6926042,-73.7707847
25897,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12403,87,,A1,115-05 172 STREET,,11434,1,0,1,"3,200","1,261",1925,1,A1,450000,6/8/2022,40.6900221,-73.7767325
25900,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12438,134,,A5,186-01 BAISLEY BOULEVARD,,11412,1,0,1,"2,831","1,224",1945,1,A5,1,3/31/2022,40.6897888,-73.764347
25901,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12438,137,,A5,186-08 FOCH BOULEVARD,,11412,1,0,1,"1,774","1,156",1930,1,A5,0,12/19/2022,40.6902005,-73.7643311
25919,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12604,37,,A1,118-50 190 STREET,,11412,1,0,1,"4,000","2,121",1925,1,A1,425000,4/28/2022,40.6891021,-73.7601305
25932,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12610,105,,S1,193-12 LINDEN BOULEVARD,,11412,1,1,2,"1,759","1,696",1930,1,S1,425000,6/2/2022,40.6926081,-73.7579434
25937,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12616,8,,A1,118-06 196 STREET,,11412,1,0,1,"3,999","1,200",1920,1,A1,660000,7/12/2022,40.691851,-73.755559
25947,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12627,34,,A5,117-07 201 PLACE,,11412,1,0,1,"2,499","1,056",1960,1,A5,615000,6/8/2022,40.6945738,-73.7504355
25951,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12630,17,,A1,118-22 201 PLACE,,11412,1,0,1,"2,184","1,106",1925,1,A1,0,6/16/2022,40.6931216,-73.7503255
25957,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12631,60,,A1,118-22 202 STREET,,11412,1,0,1,"2,100","1,162",1925,1,A1,615000,2/2/2022,40.693386,-73.7494879
25958,4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12632,50,,A1,118-15 202 STREET,,11412,1,0,1,"2,099","1,148",1920,1,A1,0,9/15/2022,40.6937007,-73.7490612
