,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
1562,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1679,32,,B3,200 DECATUR STREET,,11233,2,0,2,"2,000","2,590",1899,1,B3,999000,10/21/2022,40.6809926,-73.9353439
1563,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1680,40,,B1,390 STUYVESANT AVENUE,,11233,2,0,2,"1,853","4,416",1899,1,B1,3800000,2/10/2022,40.6812569,-73.9320195
1564,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1680,62,,B3,107 BAINBRIDGE STREET,,11233,2,0,2,"2,000","4,582",1899,1,B3,0,2/22/2022,40.6809475,-73.93326
1565,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1681,17,,B1,314 DECATUR STREET,,11233,2,0,2,"1,020","2,600",1899,1,B1,2050000,2/16/2022,40.6815006,-73.9309412
1566,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1681,23,,B3,324A DECATUR STREET,,11233,2,0,2,"1,675","2,158",1899,1,B3,0,5/4/2022,40.6815497,-73.9304977
1567,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1681,34,,B3,340 DECATUR STREET,,11233,2,0,2,"1,666","1,984",1901,1,B3,1999999,7/28/2022,40.6816289,-73.9298125
1568,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1681,36,,B3,342 DECATUR STREET,,11233,2,0,2,"1,666","2,544",1901,1,B3,2112500,8/11/2022,40.6816425,-73.9296935
1569,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1681,37,,B3,344 DECATUR STREET,,11233,2,0,2,"1,667","2,502",1901,1,B3,0,3/11/2022,40.6816507,-73.9296322
1570,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1681,49,,B3,328 MALCOLM X BOULEVARD,,11233,2,0,2,"1,499","2,160",1901,1,B3,0,8/6/2022,40.681601,-73.9290482
1571,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1682,39,,B3,418 DECATUR STREET,,11233,2,0,2,"2,000","1,760",1899,1,B3,0,12/19/2022,40.6820302,-73.9263472
1573,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,5,,B3,432 DECATUR STREET,,11233,2,0,2,"1,475","2,288",1899,1,B3,0,12/1/2022,40.6821477,-73.9255431
1574,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,5,,B3,432 DECATUR STREET,,11233,2,0,2,"1,475","2,288",1899,1,B3,1100000,10/21/2022,40.6821477,-73.9255431
1575,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,21,,B1,456 DECATUR STREET,,11233,2,0,2,"2,000","2,934",1899,1,B1,1950000,9/26/2022,40.6822349,-73.9245515
1576,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,31,,B3,472 DECATUR STREET,,11233,2,0,2,"1,874","2,428",1899,1,B3,0,9/9/2022,40.682314,-73.9238772
1577,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,39,,B3,484 DECATUR STREET,,11233,2,0,2,"1,874","2,964",1899,1,B3,1425000,1/5/2023,40.6823741,-73.9233435
1578,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,40,,B3,486 DECATUR STREET,,11233,2,0,2,"1,875","2,388",1899,1,B3,2415000,4/29/2022,40.6823823,-73.9232714
1579,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,52,,B3,347 BAINBRIDGE STREET,,11233,2,0,2,"1,874","2,600",1899,1,B3,1,7/8/2022,40.6821377,-73.9228786
1580,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,72,,B3,309 BAINBRIDGE STREET,,11233,2,0,2,"2,000","2,048",1899,1,B3,1140000,4/11/2022,40.6819767,-73.9242778
1581,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1684,31,,B1,62A BAINBRIDGE STREET,,11233,2,0,2,"1,749","3,570",2005,1,B1,0,9/23/2022,40.6802678,-73.9351103
1582,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1685,17,,B1,104 BAINBRIDGE STREET,,11233,2,0,2,"2,350","2,304",1901,1,B1,10,3/8/2022,40.6804863,-73.9331992
1584,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1686,9,,B3,393 STUYVESANT AVENUE,,11233,2,0,2,"2,000","3,060",1899,1,B3,0,12/16/2022,40.6807542,-73.9313169
1586,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1686,69,,B3,125 CHAUNCEY STREET,,11233,2,0,2,"2,000","2,646",1899,1,B3,2200000,2/1/2022,40.6805176,-73.9304555
1587,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1687,56,,B3,223 CHAUNCEY STREET,,11233,2,0,2,"1,881","1,548",1901,1,B3,0,7/1/2022,40.6810172,-73.9261248
1588,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1687,57,,B3,221 CHAUNCEY STREET,,11233,2,0,2,"1,900","1,800",1901,1,B3,1150000,9/30/2022,40.681009,-73.9261933
1589,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1691,2,,B3,417 STUYVESANT AVENUE,,11233,2,0,2,"1,500","2,480",1899,1,B3,0,3/8/2022,40.6799115,-73.9311952
1590,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1703,41,,B1,855 HERKIMER STREET,,11233,2,0,2,"1,666","4,000",2007,1,B1,0,11/23/2022,40.6785353,-73.9251541
1591,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1704,72,,B3,873 HERKIMER STREET,,11233,2,0,2,"1,200","2,144",1899,1,B3,0,3/10/2022,40.6784525,-73.9243683
1593,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1712,35,,B3,1851 ATLANTIC AVENUE,,11233,2,0,2,"1,577","1,680",1901,1,B3,451250,2/24/2022,40.6773654,-73.9241712
1594,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1712,116,,B1,876 HERKIMER STREET,,11233,2,0,2,"1,980","2,352",2004,1,B1,10,7/12/2022,40.6780325,-73.9243039
1595,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1730,125,,B1,128 ELLERY STREET,,11206,2,0,2,"1,982","1,944",1992,1,B1,0,11/21/2022,40.6982692,-73.9481406
